objectid,filename,parentid,title,creator,date,description,subject,source,identifier,type,format,language,rights,rightsstatement
coll001,rec1,,Angel Cookies,"Harris, Jean",,Handwritten cookie recipe in pencil on 3 by 5 inch index card,cookies; baking; desserts,"Box 1, Harris Recipe Collection",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,rec2,,Applesauce Cake,"Harris, Jean",,Typed cake recipe on 3 by 5 inch index card,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,rec3,,Barbecue,"Harris, Jean",,Handwritten recipe in blue pen from Neva Greenwald on a 3 by 5 index card,barbecue; meats; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,rec4,,Banana Cake,Unknown,,"Handwritten recipe in blue pen on upside down Morgan Supply Company, Inc. letterhead",cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,rec5,,Bobbies' Casserole,"Harris, Jean",,Handwritten recipe in blue pen from Bobbie Proctor on scrap paper ,casserole; baking; breakfast,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,rec6,,Cherry Chocolate Ice Cream,"Harris, Jean",,"Handwritten recipe in blue pen from Better Homes & Gardens magazine, written on scrap paper",ice cream; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,rec7,,Chili,Unknown,,Handwritten recipe in black pen on a 3 by 5 inch index card,chili; cooking; stews,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,rec8,,Cottage Cheese Salad,"Harris, Jean",,Handwritten recipe in blue pen on a 3 by 5 index card,salad; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,rec9,,Hermits,"Harris, Jean",,Handwritten recipe in pencil on 3 by 5 inch index card,cookies; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,Knadel & Sour Gravy,"Bierl, Theresia",,Handwritten recipe in blue pen on A4 paper,dumplings; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,rec10,coll012,Page 1 front,,,,,,,Image;StillImage,image/jpeg,,,
coll013,rec11,coll012,Page 1 back,,,,,,,Image;StillImage,image/jpeg,,,
coll014,rec12,coll012,Page 2 front,,,,,,,Image;StillImage,image/jpeg,,,
coll015,rec13,coll012,Page 2 back,,,,,,,Image;StillImage,image/jpeg,,,
coll016,rec14,,Macroni Salad,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,salad; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,rec15,,Pancake,"Harris, Jean",,Handwritten recipe in pencil on scrap paper from Alice,pancakes; cooking; breakfast,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,rec16,,Pie Crust,"Rhea, Mary Katherine",,Handwritten recipe in blue pen on custom index card,pie; baking; desserts; crusts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,rec17,,Pineapple Cookies,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,cookies; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,rec18,,Pizza Dough,"Harris, Jean",,Handwritten recipe in black pen on scrap paper,pizza; baking; dough,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,rec19,,Plain Pastry,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,pastry; dough; baking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,rec20,,Poke Cake,"Harris, Jean",,Handwritten recipe in blue pen on scrap paper; cataloguer devised title,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,rec21,,Scalloped Oysters,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,seafood; cooking; shellfish,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll024,rec22,,Silver White Cake,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll025,rec23,,Sour Cream Coffee Cake,Unknown,,Handwritten recipe in black pen on a blue 3 by 5 index card,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll026,rec24,,Stew Casserole,Undetermined,,Handwritten recipe in blue pen on a 3 by 5 index card,casserole; cooking; stews,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll027,rec25,,Sweet Breads,"Harris, Jean",,Handwritten recipe in blue pen on a 3 by 5 index card,cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll028,rec26,,Wesson Oil Cake,"Harris, Jean",,Handwritten recipe in blue pen on a 3 by 5 index card,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
