objectid,filename,parentid,title,creator,date,description,ingredients,subject,source,identifier,type,format,language,rights,rightsstatement
coll001,rec1.jpg,,Angel Cookies,"Harris, Jean",,Handwritten cookie recipe in pencil on 3 by 5 inch index card,butter; egg; cream of tartar; shortening; vanilla; salt; sugar; flour; nuts; soda,cookies; baking; desserts,"Box 1, Harris Recipe Collection",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,rec2.jpg,,Applesauce Cake,"Harris, Jean",,Typed cake recipe on 3 by 5 inch index card,butter; flour; nuts; sugar; soda; raisins; egg; applesauce; cinnamon,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,rec3.jpg,,Barbecue,"Harris, Jean",,Handwritten recipe in blue pen from Neva Greenwald on a 3 by 5 index card,pork; beef; onion; celery; water; catsup; vinegar; sugar; flour,barbecue; meats; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,rec4.jpg,,Banana Cake,Unknown,,"Handwritten recipe in blue pen on upside down Morgan Supply Company, Inc. letterhead",shortening; sugar; egg; flour; baking powder; soda; salt; banana; buttermilk; nuts,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,rec5.jpg,,Bobbies' Casserole,"Harris, Jean",,Handwritten recipe in blue pen from Bobbie Proctor on scrap paper ,crescent rolls; sausage; onion; green pepper; mushrooms; egg; salt; pepper; oregano; cheese ,casserole; baking; breakfast,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,rec6.jpg,,Cherry Chocolate Ice Cream,"Harris, Jean",,"Handwritten recipe in blue pen from Better Homes & Gardens magazine, written on scrap paper",egg; milk; whipping cream; sugar; cherry syrup; maraschino cherries; milk chocolate; vanilla,ice cream; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,rec7.jpg,,Chili,Unknown,,Handwritten recipe in black pen on a 3 by 5 inch index card,bacon; kidney beans; hamburger; garlic; salt; sugar; catsup; tomato puree; onion; chili powder,chili; cooking; stews,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,rec8.jpg,,Cottage Cheese Salad,"Harris, Jean",,Handwritten recipe in blue pen on a 3 by 5 index card,lime jello; cottage cheese; pineapple; cool whip; maraschino cherries,salad; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,rec9.jpg,,Hermits,"Harris, Jean",,Handwritten recipe in pencil on 3 by 5 inch index card,butter; flour; nutmeg; sugar; nuts; vanilla; egg; dates; raisins; water; cinnamon,cookies; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,Knadel & Sour Gravy,"Bierl, Theresia",,Handwritten recipe in blue pen on A4 paper,bread; potato; egg; salt; milk; water; flour; chicken; stew meat; rabbit; broth; vinegar; pepper; cream of mushroom; mushrooms; cornstarch,dumplings; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,rec10.jpg,coll012,Page 1 front,,,,,,,,Image;StillImage,image/jpeg,,,
coll013,rec11.jpg,coll012,Page 1 back,,,,,,,,Image;StillImage,image/jpeg,,,
coll014,rec12.jpg,coll012,Page 2 front,,,,,,,,Image;StillImage,image/jpeg,,,
coll015,rec13.jpg,coll012,Page 2 back,,,,,,,,Image;StillImage,image/jpeg,,,
coll016,rec14.jpg,,Macroni Salad,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,macaroni; red pepper; green pepper; onion; french dressing; mayonnaise; celery,salad; cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,rec15.jpg,,Pancake,"Harris, Jean",,Handwritten recipe in pencil on scrap paper from Alice,egg; buttermilk; sugar; soda; flour,pancakes; cooking; breakfast,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,rec16.jpg,,Pie Crust,"Rhea, Mary Katherine",,Handwritten recipe in blue pen on custom index card,flour; Wesson oil; salt; milk,pie; baking; desserts; crusts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,rec17.jpg,,Pineapple Cookies,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,brown sugar; sugar; pineapple; egg; soda; butter; flour; pineapple juice,cookies; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,rec18.jpg,,Pizza Dough,"Harris, Jean",,Handwritten recipe in black pen on scrap paper,flour; oil; salt; sugar; yeast; water,pizza; baking; dough,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,rec19.jpg,,Plain Pastry,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,flour; salt; shortening; water,pastry; dough; baking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,rec20.jpg,,Poke Cake,"Harris, Jean",,Handwritten recipe in blue pen on scrap paper; cataloguer devised title,cake mix; jello; water; cool whip; ,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,rec21.jpg,,Scalloped Oysters,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,crackers; oysters; butter; salt; milk,seafood; cooking; shellfish,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll024,rec22.jpg,,Silver White Cake,"Harris, Jean",,Handwritten recipe in pencil on a 3 by 5 index card,cake flour; shortening; sugar; vanilla; butter; milk; salt; egg; egg whites,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll025,rec23.jpg,,Sour Cream Coffee Cake,Unknown,,Handwritten recipe in black pen on a blue 3 by 5 index card,margarine; sugar; egg; flour; baking powder; soda; salt; sour cream; vinegar; milk; vanilla; almond abstract; brown sugar; cinnamon; nuts,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll026,rec24.jpg,,Stew Casserole,Undetermined,,Handwritten recipe in blue pen on a 3 by 5 index card,stew meat; carrot; tomato; brown sugar; bay leaf; salt; pepper; onion; peas; tapioca; beef consomme,casserole; cooking; stews,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll027,rec25.jpg,,Sweet Breads,"Harris, Jean",,Handwritten recipe in blue pen on a 3 by 5 index card,water; salt; vinegar; crackers; flour; corn meal; grease,cooking,"Box 1, Harris Recipe Collection",,Image;StillImage,image/jpeg,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
coll028,rec26.jpg,,Wesson Oil Cake,"Harris, Jean",,Handwritten recipe in blue pen on a 3 by 5 index card,sugar; Wesson oil; egg; buttermilk; flour; cocoa; salt; vanilla; water,cake; baking; desserts,"Box 1, Harris Recipe Collection",,Image;StillImage,multiple,eng,"Available for personal and educational use only. For further inquiries, contact Kaelyn Harris.",http://rightsstatements.org/vocab/NoC-US/1.0/
